train_id,station,expected_arrival,actual_arrival
BART001,DUBLIN,2026-04-25 05:55:00,2026-04-25 05:55:10
BART001,W DUB,2026-04-25 05:58:00,2026-04-25 05:58:03
BART001,CVLY,2026-04-25 06:09:00,2026-04-25 06:08:53
BART001,BFAIR,2026-04-25 06:13:00,2026-04-25 06:13:06
BART001,SLEAN,2026-04-25 06:17:00,2026-04-25 06:17:04
BART001,COLIS,2026-04-25 06:21:00,2026-04-25 06:21:01
BART001,FRTVL,2026-04-25 06:25:00,2026-04-25 06:24:58
BART001,LAKEM,2026-04-25 06:29:00,2026-04-25 06:28:52
BART001,W OAK,2026-04-25 06:35:00,2026-04-25 06:35:05
BART001,EMBAR,2026-04-25 06:42:00,2026-04-25 06:41:58
BART001,MONTG,2026-04-25 06:43:00,2026-04-25 06:43:58
BART001,POWEL,2026-04-25 06:45:00,2026-04-25 06:46:42
BART001,CIVIC,2026-04-25 06:47:00,2026-04-25 06:49:02
BART001,16ST,2026-04-25 06:49:00,2026-04-25 06:50:52
BART001,24ST,2026-04-25 06:51:00,2026-04-25 06:52:44
BART001,GLNPK,2026-04-25 06:54:00,2026-04-25 06:56:02
BART001,BALPK,2026-04-25 06:56:00,2026-04-25 06:58:42
BART001,DALY,2026-04-25 07:00:00,2026-04-25 07:02:32
BART002,DUBLIN,2026-04-25 06:15:00,2026-04-25 06:15:05
BART002,W DUB,2026-04-25 06:18:00,2026-04-25 06:18:01
BART002,CVLY,2026-04-25 06:29:00,2026-04-25 06:29:13
BART002,BFAIR,2026-04-25 06:33:00,2026-04-25 06:33:23
BART002,SLEAN,2026-04-25 06:37:00,2026-04-25 06:37:35
BART002,COLIS,2026-04-25 06:41:00,2026-04-25 06:41:42
BART002,FRTVL,2026-04-25 06:45:00,2026-04-25 06:45:45
BART002,LAKEM,2026-04-25 06:49:00,2026-04-25 06:49:42
BART002,W OAK,2026-04-25 06:55:00,2026-04-25 06:55:46
BART002,EMBAR,2026-04-25 07:02:00,2026-04-25 07:02:54
BART002,MONTG,2026-04-25 07:03:00,2026-04-25 07:04:07
BART002,POWEL,2026-04-25 07:05:00,2026-04-25 07:06:46
BART002,CIVIC,2026-04-25 07:07:00,2026-04-25 07:09:40
BART002,16ST,2026-04-25 07:09:00,2026-04-25 07:11:40
BART002,24ST,2026-04-25 07:11:00,2026-04-25 07:13:38
BART002,GLNPK,2026-04-25 07:14:00,2026-04-25 07:16:53
BART002,BALPK,2026-04-25 07:16:00,2026-04-25 07:19:52
BART002,DALY,2026-04-25 07:20:00,2026-04-25 07:23:52
BART003,DUBLIN,2026-04-25 06:35:00,2026-04-25 06:34:36
BART003,W DUB,2026-04-25 06:38:00,2026-04-25 06:37:28
BART003,CVLY,2026-04-25 06:49:00,2026-04-25 06:48:30
BART003,BFAIR,2026-04-25 06:53:00,2026-04-25 06:52:23
BART003,SLEAN,2026-04-25 06:57:00,2026-04-25 06:56:24
BART003,COLIS,2026-04-25 07:01:00,2026-04-25 07:00:41
BART003,FRTVL,2026-04-25 07:05:00,2026-04-25 07:04:42
BART003,LAKEM,2026-04-25 07:09:00,2026-04-25 07:08:51
BART003,W OAK,2026-04-25 07:15:00,2026-04-25 07:14:49
BART003,EMBAR,2026-04-25 07:22:00,2026-04-25 07:22:04
